study.no,HB,title,authors,journal,pub.yr,vol,issue,page.st,page.end,DOI,author1,genus,species,family,order,class,subphylum,phylum,kingdom,comm.name,location,habitat,years,lat,long,temp.rear,temp.no,photoperiod,salinity,humidity,datathief,body.size.given,source,length.mm,dry.mg1,conversion1,dry.g2,dry.mg2,conversion2,dry.mg3,conversion3,dry.mg4,conversion4,dry.mass.mg,size.notes,notes,
11,1,"DEVELOPMENT, LONGEVITY AND FECUNDITY OF THE FALSE WIREWORMS PTEROHELAEUS-DARLINGENSIS AND P TEROHELAEUS-ALTERNATUS (COLEOPTERA, TENEBRIONIDAE) .1. EFFECT OF CONSTANT TEMPERATURE","ALLSOPP, PG",AUSTRALIAN JOURNAL OF ZOOLOGY,1981,29,4,605,619,NA,Allsop,Pterohelaeus,darlingensis,Tenebrionidae,Coleoptera,Insecta,Tracheata,Arthropoda,Animalia,false wireworm,"Toowoomba, Queensland",terrestrial,NA,-27.56,151.95,25,4,12.12,NA,30,1,16.2 mm body length,Allsopp 1979,16.2,4.500E+01,Rogers 1976_Insecta,0.076545722,7.655E+01,Sage 1982_Coleoptera adult,9.48E+02,Ganihar 1997_Coleoptera adult,4.02E+01,Sample 1993_Coleoptera adult,40.1751,Sample 1993_Coleoptera adult,Did not use 15.8 temp because larvae did not develop,
12,1,"DEVELOPMENT, LONGEVITY AND FECUNDITY OF THE FALSE WIREWORMS PTEROHELAEUS-DARLINGENSIS AND P TEROHELAEUS-ALTERNATUS (COLEOPTERA, TENEBRIONIDAE) .1. EFFECT OF CONSTANT TEMPERATURE","ALLSOPP, PG",AUSTRALIAN JOURNAL OF ZOOLOGY,1981,29,4,605,619,NA,Allsop,Pterohelaeus,alternatus,Tenebrionidae,Coleoptera,Insecta,Tracheata,Arthropoda,Animalia,false wireworm,"Boonarga, Queensland",terrestrial,NA,-26.79,150.72,25,4,12.12,NA,30,1,18.1 mm body length,Allsopp 1979,18.1,6.018E+01,Rogers 1976_Insecta,0.102730866,1.027E+02,Sage 1982_Coleoptera adult,1.25E+03,Ganihar 1997_Coleoptera adult,5.30E+01,Sample 1993_Coleoptera adult,52.9640,Sample 1993_Coleoptera adult,3,3.00E-06
13,1,Competition between sexual and parthenogenetic Artemia: temperature and strain effects ,"Barata, C; Hontoria, F; Amat, F; Browne, R",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,1996,196,1,313,328,10.1016/0022-0981(95)00137-9,Barata,Artemia,parthenogenetica,Artemiidae,Anostraca,Branchiopoda,Crustacea,Arthropoda,Animalia,brine shrimp,"Alicante, Spain",marine,1990,38.35,0.49,28,3,12.12,90 gl-1,NA,1,7.3 - 12.9 mm body length,Barata 1996 aquaculture,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1050,Barata 1996 Table 3,diploid Artemia only; used imageJ to extract some data (figure axes were funky,
14,1,INFLUENCE OF TEMPERATURE ON GROWTH OF EXPERIMENTAL POPULATIONS OF MYZUS PERSICAE (SULZER) AND MACROSIPHUM EUPHORBIAE (THOMAS) (APHIDIDAE),"BARLOW, CA",CANADIAN JOURNAL OF ZOOLOGY,1962,40,2,145,156,10.1139/z62-019,Barlow,Myzus,persicae,Aphididae,Hemiptera,Insecta,Tracheata,Arthropoda,Animalia,green peach aphid,NA,terrestrial,NA,NA,NA,19,5,16.8,NA,70,0,1.8 - 2.1 mm body length,http://entnemdept.ufl.edu/creatures/veg/aphid/green_peach_aphid.htm,1.95,1.755E-01,Rogers 1976_Insecta,0.000542292,5.423E-01,Sage 1982_Hemiptera-Homoptera,2.45E+00,Ganihar 1997_Hemiptera,6.52E-02,Sample 1993_Hemiptera,0.0652,Sample 1993_Hemiptera,Development time is from first instar to adult,
15,1,INFLUENCE OF TEMPERATURE ON GROWTH OF EXPERIMENTAL POPULATIONS OF MYZUS PERSICAE (SULZER) AND MACROSIPHUM EUPHORBIAE (THOMAS) (APHIDIDAE),"BARLOW, CA",CANADIAN JOURNAL OF ZOOLOGY,1962,40,2,145,156,10.1139/z62-019,Barlow,Macrosiphum,euphorbiae,Aphididae,Hemiptera,Insecta,Tracheata,Arthropoda,Animalia,potato aphid,NA,terrestrial,NA,NA,NA,22,5,16.8,NA,70,0,1.7 - 3.6,http://animaldiversity.ummz.umich.edu/accounts/Macrosiphum_euphorbiae/,2.65,3.919E-01,Rogers 1976_Insecta,0.000743983,7.440E-01,Sage 1982_Hemiptera-Homoptera,1.09E+01,Ganihar 1997_Hemiptera,1.67E-01,Sample 1993_Hemiptera,0.1674,Sample 1993_Hemiptera,,
16,1,"BIOLOGY AND LIFE-TABLES OF GALENDROMUS-HELVEOLUS (ACARI, PHYTOSEIIDAE) ON FLORIDA CITRUS","CACERES, S; CHILDERS, CC",ENVIRONMENTAL ENTOMOLOGY,1991,20,1,224,229,NA,Caceres,Galendromus,helveolus,Phytoseiidae,Acari,Arachnida,Tracheata,Arthropoda,Animalia,citrus mite,"Fort Ogden, Florida",terrestrial,1988,27.09,-81.95,25,5,0.24,NA,76,0,0.5 mm body length,http://keys.lucidcentral.org/keys/v3/phytoseiidae/key/Phytoseiidae/Media/Html/mites.htm,0.5,4.961E-03,Rogers 1976_Insecta,0.000498286,4.983E-01,Sage 1982_Arachnida,-3.03E+00,Ganihar 1997_Araneae,4.72E-03,Sample 1993_Insecta,0.0047,Sample 1993_Insecta,Used 0.5 mm body size because that is what I used for the other Phytoseid moths,
17,1,"EFFECT OF TEMPERATURE ON THE POPULATION-GROWTH OF BACTROCERA-TAU (WALKER) (DIPT, TEPHRITIDAE)","ZHOU, CQ (ZHOU, CQ); WU, KK (WU, KK); CHEN, HD (CHEN, HD); YANG, PJ (YANG, PJ); DOWELL, RV (DOWELL, RV)",JOURNAL OF APPLIED ENTOMOLOGY,1994,117,4,332,337,NA,Zhou,Bactrocera,tau,Tephritidae,Diptera,Insecta,Tracheata,Arthropoda,Animalia,pumpkin fly,"Guanhzhou, China",terrestrial,1988,23.16,113.27,NA,6,12.12,NA,75,0,8.56,Singh 2010,8.56,8.460E+00,Rogers 1976_Insecta,0.00785217,7.852E+00,Sage 1982_Diptera adult,2.59E+02,Ganihar 1997_Diptera,4.79E+00,Sample 1993_Diptera adult,4.7948,Sample 1993_Diptera adult,,
18,1,The influence of temperature on the life table of Hyperaspis notata,"Dreyer, BS (Dreyer, BS); Neuenschwander, P (Neuenschwander, P); Bouyjou, B (Bouyjou, B); Baumgartner, J (Baumgartner, J); Dorn, S (Dorn, S)",ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,1997,84,1,85,92,10.1046/j.1570-7458.1997.00201.x,Dreyer,Hyperaspis,notata,Coccinelidae,Coleoptera,Insecta,Tracheata,Arthropoda,Animalia,ladybug,Colombia,terrestrial,1987,4.57,-74.3,27,7,12.12,NA,80,0,2 - 4 mm body length,Sullivan 1991,3,5.424E-01,Rogers 1976_Insecta,0.001867606,1.868E+00,Sage 1982_Coleoptera adult,1.17E+01,Ganihar 1997_Coleoptera adult,6.01E-01,Sample 1993_Coleoptera adult,0.6009,Sample 1993_Coleoptera adult,Used colombian strain because had one extra temperature (34c),
19,1,FECUNDITY REPRODUCTIVE RATES + INNATE CAPACITY FOR INCREASE OF 3 PARASITES OF THERIOAPHIS MACULATA ( BUCKTON ),"FORCE, DC; MESSENGER, PS",ECOLOGY,1964,45,4,706,715,10.2307/1934918,Force,Praon,palitans,Braconidae,Hymenoptera,Insecta,Tracheata,Arthropoda,Animalia,parasitoid wasp,"Dos Palos, California",terrestrial,1960,36.99,-120.63,25,3,12.12,NA,50,0,1.7 mm body length,Schlinger and Hall 1960,1.7,1.225E-01,Rogers 1976_Insecta,0.000265314,2.653E-01,Sage 1982_Hymenoptera,NA,NA,7.74E-02,Sample 1993_Coleoptera adult,0.0774,Sample 1993_Hymenoptera_Braconidae,,
20,1,FECUNDITY REPRODUCTIVE RATES + INNATE CAPACITY FOR INCREASE OF 3 PARASITES OF THERIOAPHIS MACULATA ( BUCKTON ),"FORCE, DC; MESSENGER, PS",ECOLOGY,1964,45,4,706,715,10.2307/1934918,Force,Trioxys,utilis,Braconidae,Hymenoptera,Insecta,Tracheata,Arthropoda,Animalia,parasitoid wasp,"Dos Palos, California",terrestrial,1960,36.99,-120.63,25,4,12.12,NA,50,0,1.7 mm body length,Schlinger and Hall 1961,1.7,1.225E-01,Rogers 1976_Insecta,0.000265314,2.653E-01,Sage 1982_Hymenoptera,NA,NA,7.74E-02,Sample 1993_Coleoptera adult,0.0774,Sample 1993_Hymenoptera_Braconidae,,
21,1,FECUNDITY REPRODUCTIVE RATES + INNATE CAPACITY FOR INCREASE OF 3 PARASITES OF THERIOAPHIS MACULATA ( BUCKTON ),"FORCE, DC; MESSENGER, PS",ECOLOGY,1964,45,4,706,715,10.2307/1934918,Force,Aphelinus,semiflavus,Aphelinidae,Hymenoptera,Insecta,Tracheata,Arthropoda,Animalia,parasitoid wasp,"Dos Palos, California",terrestrial,1960,36.99,-120.63,25,4,12.12,NA,50,0,1.08,Howe 1908,1.08,3.731E-02,Rogers 1976_Insecta,0.000180962,1.810E-01,Sage 1982_Hymenoptera,NA,NA,2.56E-02,Sample 1993_Coleoptera adult,0.0256,Sample 1993_Hymenoptera_Braconidae,Did not use Rhopalisophum because only 3 temps,
22,1,"LIFE TABLE STATISTICS OF 3 APPLE APHIDS, DYSAPHIS-PLANTAGINEA, RHOPALOSIPHUM-INSERTUM, AND APHIS-POMI (HOMOPTERA, APHIDIDAE), AT CONSTANT TEMPERATURES","GRAF, B; BAUMGARTNER, J; DELUCCHI, V",JOURNAL OF APPLIED ENTOMOLOGY,1985,99,3,285,294,NA,Graf,Dysaphis,plantaginea,Aphididae,Hemiptera,Insecta,Tracheata,Arthropoda,Animalia,rosy apple aphid,"Zurich, Switzerland",terrestrial,1980,47.37,8.54,4,4,NA,NA,69,0,2.5 mm body length,http://www7.inra.fr/hyppz/RAVAGEUR/6dyspla.htm,2.5,3.364E-01,Rogers 1976_Insecta,0.0006958,6.958E-01,Sage 1982_Hemiptera-Homoptera,8.70E+00,Ganihar 1997_Hemiptera,1.40E-01,Sample 1993_Hemiptera,0.1400,Sample 1993_Hemiptera,,
23,1,"LIFE TABLE STATISTICS OF 3 APPLE APHIDS, DYSAPHIS-PLANTAGINEA, RHOPALOSIPHUM-INSERTUM, AND APHIS-POMI (HOMOPTERA, APHIDIDAE), AT CONSTANT TEMPERATURES","GRAF, B; BAUMGARTNER, J; DELUCCHI, V",JOURNAL OF APPLIED ENTOMOLOGY,1985,99,3,285,294,NA,Graf,Aphis,pomi,Aphididae,Hemiptera,Insecta,Tracheata,Arthropoda,Animalia,apple aphid,"Zurich, Switzerland",terrestrial,1980,47.37,8.54,4,4,NA,NA,69,0,1.5 - 2.5 mm body length,http://www.cropscience.bayer.com/en/Crop-Compendium/Pests-Diseases-Weeds/Pests/Aphis-pomi.aspx,2,1.875E-01,Rogers 1976_Insecta,0.000554856,5.549E-01,Sage 1982_Hemiptera-Homoptera,2.90E+00,Ganihar 1997_Hemiptera,7.05E-02,Sample 1993_Hemiptera,0.0705,Sample 1993_Hemiptera,,
24,1,INFLUENCE OF TEMPERATURE ON REPRODUCTIVE POTENTIAL OF ONCHOLAIMUS-OXYURIS (NEMATODA ONCHOLAIMIDAE),"HEIP, C (HEIP, C); SMOL, N (SMOL, N); ABSILLIS, V (ABSILLIS, V)",MARINE BIOLOGY,1978,45,3,255,260,10.1007/BF00390608,Heip,Oncholaimus,oxyuris,Oncholaimidae,Enoplida,Adenophorea,,Nematoda,Animalia,nematode,"Lombardsijde, Belgium",marine,1971,51.15,2.76,4,NA,NA,20,NA,0,3.5 ug dry weight,Heip and Smol 1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035,Heip and Smol 1978,,
25,1,"LIFE-FERTILITY TABLES FOR FRANKLINIELLA-FUSCA (HINDS) AND F-OCCIDENTALIS (PERGANDE) (THYSANOPTERA, THRIPIDAE) ON PEANUT","LOWRY, VK; SMITH, JW; MITCHELL, FL",ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA ,1992,85,6,744,754,NA,Lowry,Frankliniella,fusca,Thripidae,Thysanoptera,Insecta,Tracheata,Arthropoda,Animalia,tobacco thrip,"Frio County, Texas",terrestrial,1989,28.83,-99.1,28,4,14.1,NA,NA,0,1 - 1.3,http://www.entomology.ualberta.ca/searching_species_print.php?b=Thysanoptera&c=7&s=3450&sn=,1.15,4.399E-02,Rogers 1976_Insecta,0.000633667,6.337E-01,Sage 1982_Insecta,NA,NA,3.76E-02,Sample 1993_Insecta,0.0376,Sample 1993_Insecta,,
26,1,"LIFE-TABLES OF PROCTOLAELAPS-DELEONI NAWAR, CHILDERS AND ABOU-SETTA (GAMASIDA, ASCIDAE) AT DIFFERENT TEMPERATURES","NAWAR, MS",EXPERIMENTAL & APPLIED ACAROLOGY,1992,13,4,281,285,10.1007/BF01195084,Nawar,Proctolaelaps,deleoni,Ascidae,Gamasida,Arachnida,Chelicerata,Arthropoda,Animalia,predatory mite,"Lake Alfred, Florida",terrestrial,1986,28.09,-81.72,NA,5,NA,NA,NA,0,370 - 420 um length dorsal shield,Nawar 2009,0.42,3.142E-03,Rogers 1976_Insecta,0.000479286,4.793E-01,Sage 1982_Arachnida,-3.09E+00,Ganihar 1997_Araneae,3.05E-03,Sample 1993_Insecta,0.0031,Sample 1993_Insecta,,
27,1,Effects of temperature on the population of Artemia sinica,"Jia, Qinxian; Zhuang, Ling; Zhou, Wangshu; Yang, Mengke",Acta Ecologica Sinica ,1995,15,3,312,318,NA,Jia,Artemia,sinica,Artemiidae,Anostraca,Branchiopoda,Crustacea,Arthropoda,Animalia,brine shrimp,"Yanchi Lake, Shanxi, China",marine,1987,34.98,110.99,NA,8,12.12,60 ppt,NA,0,NA,"Barata 1996, Forster 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1000,Estimate based on Artemia averages (other species),,
28,1,"INFLUENCE OF CONSTANT TEMPERATURE ON DEVELOPMENT, SURVIVAL AND FECUNDITY OF SUGARCANE MEALYBUG, SACCHARICOCCUS-SACCHARI (COCKERELL) (HEMIPTERA, PSEUDOCOCCIDAE)","RAE, DJ (RAE, DJ); DEATH, G (DEATH, G)",AUSTRALIAN JOURNAL OF ZOOLOGY,1991,39,1,105,122,10.1071/ZO9910105,Rae,Saccharicoccus,sacchari,Pseudococcidae,Hemiptera,Insecta,Tracheata,Arthropoda,Animalia,sugarcane mealbug,"Mackay, Australia",terrestrial,1986,-21.14,149.19,NA,6,14.1,NA,70,0,7 mm length,http://www.sel.barc.usda.gov/scalekeys/mealybugs/key/mealybugs/media/html/species/saccharicoccus_sacchari/saccharicoccus_sacchari.html,7,4.994E+00,Rogers 1976_Insecta,0.004284466,4.284E+00,Sage 1982_Hemiptera-Homoptera,2.13E+02,Ganihar 1997_Hemiptera,3.32E+00,Sample 1993_Hemiptera,3.3190,Sample 1993_Hemiptera,,
29,1,"DEVELOPMENT AND LIFE FERTILITY TABLES FOR DIATRAEA-LINEOLATA (LEPIDOPTERA, PYRALIDAE) AT CONSTANT TEMPERATURES","RODRIGUEZDELBOSQUE, LA (RODRIGUEZDELBOSQUE, LA); SMITH, JW (SMITH, JW); BROWNING, HW (BROWNING, HW)",ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,1989,82,4,450,459,NA,Rodriguez,Diatraea,lineolata,Pyralidae,Lepidoptera,Insecta,Tracheata,Arthropoda,Animalia,neotropical cornstalk borer,"Tamaulipas, Mexico",terrestrial,1984,24.27,-98.84,NA,4,14.1,NA,NA,0,20-42 mm adult wingspan; 20 - 25 mm long larva,,22.5,1.064E+02,Rogers 1976_Insecta,0.094081627,9.408E+01,Sage 1982_Lepidoptera adult,7.33E+03,Ganihar 1997_Lepidoptera adult,1.08E+02,Sample 1993_Lepidoptera adult,108.2447,Sample 1993_Lepidoptera adult,,
30,1,"INFLUENCE OF CONSTANT TEMPERATURES ON THE DEVELOPMENT AND REPRODUCTION OF ACYRTHOSIPHON-KONDOI (HOMOPTERA, APHIDIDAE)","SUMMERS, CG; COVIELLO, RL; GUTIERREZ, AP",ENVIRONMENTAL ENTOMOLOGY,1984,13,1,236,242,NA,Summers,Acyrthosiphon,kondoi,Aphididae,Hemiptera,Insecta,Tracheata,Arthropoda,Animalia,blue alfalfa aphid,California,terrestrial,1979,37.87,-122.27,20,9,16.8,NA,70,0,3 - 3.5 mm body length,http://entoweb.okstate.edu/ddd/insects/blueaphid.htm,3.25,6.690E-01,Rogers 1976_Insecta,0.000968209,9.682E-01,Sage 1982_Hemiptera-Homoptera,2.21E+01,Ganihar 1997_Hemiptera,3.14E-01,Sample 1993_Hemiptera,0.3136,Sample 1993_Hemiptera,,
31,1,INFLUENCE OF TEMPERATURE ON POPULATION INCREASE OF TETRANYCHUS-MCDANIELI (ACARINA-TETRANYCHIDAE),,"TANIGOSHI, LK; HOYT, SC; BROWNE, RW; et al.",1975,68,6,972,978,NA,Tanigoshi,Tetranychus ,mcdanieli,Tetranychidae,Acari,Arachnida,Tracheata,Arthropoda,Animalia,McDaniel spider mite,"Wenatchee, Washington",terrestrial,1973,47.42,-120.31,NA,8,16.8,NA,52,0,0.44 mm body length,http://jenny.tfrec.wsu.edu/opm/displayspecies.php?pn=270,0.44,3.549E-03,Rogers 1976_Insecta,0.000483972,4.840E-01,Sage 1982_Arachnida,-3.08E+00,Ganihar 1997_Araneae,3.43E-03,Sample 1993_Insecta,0.0034,Sample 1993_Insecta,Tea is egg to egg (not to adult),
32,1,Individual culture and experimental population dynamics of Keratella cochlearis (Rotatoria),"Walz, N",Hydrobiologia,1983,107,NA,35,45,NA,Walz,Keratella,cochlearis,Brachionidae,Ploimida,Eurotifera,,Rotifera,Animalia,rotifer,"Munich, Germany",freshwater,1978,48.14,11.58,NA,5,NA,0,NA,1,"88 um long, 61 um wide",Walz 1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0000E-05,Brose et al. 2005,,
33,1,Demography of four Hawaiian fruit flies (Diptera: Tephritidae) reared at five constant temperatures,"Vargas, RI; Walsh, WA; Kanehisa, D; et al.",ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,1997,90,2,162,168,NA,Vargas,Bactrocera,cucurbitae,Tephritidae,Diptera,Insecta,Tracheata,Arthropoda,Animalia,melon fly,"Honolulu, Hawaii",terrestrial,1984,21.31,-157.86,NA,5,12.12,NA,60,0, 6 - 8 mm length; 8 - 13 mm length,http://entnemdept.ufl.edu/creatures/fruit/tropical/melon_fly.htm; http://www.extento.hawaii.edu/kbase/crop/type/bactro_c.htm,10,1.271E+01,Rogers 1976_Insecta,0.013129417,1.313E+01,Sage 1982_Diptera adult,3.89E+02,Ganihar 1997_Diptera,6.76E+00,Sample 1993_Diptera adult,6.7640,Sample 1993_Diptera adult,,
